# This file contains the mapping from two-letter, three-letter, and
# language names to the directory where the model files for that language
# exists. Supply the Tagger constructor with either as a string.

--, grc, ancient_greek, Ancient_Greek
--, grc, ancient_greek, Ancient_Greek-PROIEL
ar, ara, arabic, Arabic
eu, eus, basque, Basque
bg, bul, bulgarian, Bulgarian
ca, cat, catalan, Catalan
zh, zho, chinese, Chinese
hr, hrv, croatian, Croatian
cs, ces, czech, Czech
cs, ces, czech, Czech-CAC
cs, ces, czech, Czech-CLTT
da, dan, danish, Danish
nl, nld, dutch, Dutch
nl, nld, dutch, Dutch-LassySmall
en, eng, english, English
en, eng, english, English-LinES
et, est, estonian, Estonian
fi, fin, finnish, Finnish
fi, fin, finnish, Finnish-FTB
fr, fra, french, French
gl, glg, galician, Galician
de, deu, german, German
--, got, gothic, Gothic
el, gre, greek, Greek
el, ell, greek, Greek
he, heb, hebrew, Hebrew
hi, hin, hindi, Hindi
hu, hun, hungarian, Hungarian
id, ind, indonesian, Indonesian
ga, gle, irish, Irish
it, ita, italian, Italian
kk, kaz, kazakh, Kazakh
la, lat, latin, Latin
la, lat, latin, Latin-ITTB
la, lat, latin, Latin-PROIEL
lv, lav, latvian, Latvian
no, nor, norwegian, Norwegian
cu, chu, old_church_slavonic, Old_Church_Slavonic
fa, fas, persian, Persian
pl, pol, polish, Polish
pt, por, portuguese, Portuguese
pt, por, portuguese, Portuguese-BR
ro, ron, romanian, Romanian
ru, rus, russian, Russian-SynTagRus
sl, slv, slovenian, Slovenian
sl, slv, slovenian, Slovenian-SST
es, spa, spanish, Spanish
es, spa, spanish, Spanish-AnCora
sv, swe, swedish, Swedish
sv, swe, swedish, Swedish-LinES
ta, tam, tamil, Tamil
tr, tur, turkish, Turkish
